algorithm_config_id,component,mapping_lag_ka,composite_event_id,projected_depth_mm,chronology_sigma_before_conditioning_ka
s035_w300,So-57,-0.5,MIS6_DO_17,343.0038759719381,0.2655301937538844
s035_w300,So-57,-0.5,MIS6_DO_18,455.8586956554571,0.2388314048220472
s035_w300,So-57,-0.5,MIS6_DO_19,472.7153024944052,0.2688763511704827
s035_w300,So-57,-0.5,MIS6_DO_20,798.5542725206432,0.4016377150399683
s035_w300,So-57,0.0,MIS6_DO_17,362.3592592620742,0.3056383319405811
s035_w300,So-57,0.0,MIS6_DO_18,474.30827068009864,0.2725821813277335
s035_w300,So-57,0.0,MIS6_DO_19,490.774647890591,0.2860600709038154
s035_w300,So-57,0.0,MIS6_DO_20,810.1725888361389,0.4436169239721642
s035_w300,So-57,0.5,MIS6_DO_17,381.202952032325,0.3377754769635161
s035_w300,So-57,0.5,MIS6_DO_18,492.369402988456,0.2822902273925307
s035_w300,So-57,0.5,MIS6_DO_19,508.9890510982769,0.2498327180087914
s035_w300,So-57,0.5,MIS6_DO_20,822.6675531953152,0.4886451710170011
s035_w300,So-57,1.0,MIS6_DO_17,399.7985348013184,0.2851108890261054
s035_w300,So-57,1.0,MIS6_DO_18,510.59926470921374,0.247438687917827
s035_w300,So-57,1.0,MIS6_DO_19,527.3249097506422,0.2319953231874904
s035_w300,So-57,1.0,MIS6_DO_20,835.7461139933642,0.5359545110488904
s035_w400,So-4,-1.0,MIS6_DO_17,962.0313283217544,0.2941765735895638
s035_w400,So-4,-1.0,MIS6_DO_18,999.1261904772692,0.2610019740601806
s035_w400,So-4,-1.0,MIS6_DO_19,1004.6019417486988,0.2885206476541398
s035_w400,So-4,-1.0,MIS6_DO_20,1102.2216687431126,0.3013045007529601
s035_w400,So-4,-1.0,MIS6_DO_21,1122.3222222232062,0.4286154400702247
s035_w400,So-4,-0.5,MIS6_DO_17,968.2990314779177,0.3413878118838128
s035_w400,So-4,-0.5,MIS6_DO_18,1005.1365853669588,0.2916902415458929
s035_w400,So-4,-0.5,MIS6_DO_19,1012.175742576554,0.3287540108168383
s035_w400,So-4,-0.5,MIS6_DO_20,1105.3459563552235,0.3041397110506811
s035_w400,So-4,-0.5,MIS6_DO_21,1125.389232674254,0.4211013946060276
s035_w400,So-4,0.0,MIS6_DO_17,974.335714286619,0.2988354531505678
s035_w400,So-4,0.0,MIS6_DO_18,1013.258536587576,0.3326830200110061
s035_w400,So-4,0.0,MIS6_DO_19,1024.6027027052105,0.2537706689309781
s035_w400,So-4,0.0,MIS6_DO_20,1108.4719800756156,0.3142706247823683
s035_w400,So-4,0.0,MIS6_DO_21,1128.5165184254092,0.4024039521155246
s035_w400,So-4,0.5,MIS6_DO_17,980.3486997644918,0.2658820156711334
s035_w400,So-4,0.5,MIS6_DO_18,1025.8493975930908,0.2541625575661484
s035_w400,So-4,0.5,MIS6_DO_19,1043.745721272528,0.3519103007477923
s035_w400,So-4,0.5,MIS6_DO_20,1111.5651387222188,0.3310280765483728
s035_w400,So-4,0.5,MIS6_DO_21,1131.6307884866046,0.3845397303376054
s035_w400,So-4,1.0,MIS6_DO_17,986.4556962034936,0.2464091976687081
s035_w400,So-4,1.0,MIS6_DO_18,1044.2944162448048,0.3675248593185782
s035_w400,So-4,1.0,MIS6_DO_19,1049.45747266156,0.3634044217176457
s035_w400,So-4,1.0,MIS6_DO_20,1114.5870646775115,0.3534708607857764
s035_w400,So-4,1.0,MIS6_DO_21,1134.8164014697638,0.3676302152012479
s035_w400,So-57,-1.0,MIS6_DO_17,322.4711111144892,0.2485368069618579
s035_w400,So-57,-1.0,MIS6_DO_18,438.0747330993103,0.2278847310619289
s035_w400,So-57,-1.0,MIS6_DO_19,454.2697841759995,0.236861201574145
s035_w400,So-57,-1.0,MIS6_DO_20,788.5824561428747,0.3637646765179931
s035_w400,So-57,-0.5,MIS6_DO_17,343.0038759719381,0.2655301937538844
s035_w400,So-57,-0.5,MIS6_DO_18,455.8586956554571,0.2388314048220472
s035_w400,So-57,-0.5,MIS6_DO_19,472.7153024944052,0.2688763511704827
s035_w400,So-57,-0.5,MIS6_DO_20,798.5542725206432,0.4016377150399683
s035_w400,So-57,0.0,MIS6_DO_17,362.3592592620742,0.3056383319405811
s035_w400,So-57,0.0,MIS6_DO_18,474.30827068009864,0.2725821813277335
s035_w400,So-57,0.0,MIS6_DO_19,490.774647890591,0.2860600709038154
s035_w400,So-57,0.0,MIS6_DO_20,810.1725888361389,0.4436169239721642
s035_w400,So-57,0.5,MIS6_DO_17,381.202952032325,0.3377754769635161
s035_w400,So-57,0.5,MIS6_DO_18,492.369402988456,0.2822902273925307
s035_w400,So-57,0.5,MIS6_DO_19,508.9890510982769,0.2498327180087914
s035_w400,So-57,0.5,MIS6_DO_20,822.6675531953152,0.4886451710170011
s035_w400,So-57,1.0,MIS6_DO_17,399.7985348013184,0.2851108890261054
s035_w400,So-57,1.0,MIS6_DO_18,510.59926470921374,0.247438687917827
s035_w400,So-57,1.0,MIS6_DO_19,527.3249097506422,0.2319953231874904
s035_w400,So-57,1.0,MIS6_DO_20,835.7461139933642,0.5359545110488904
s035_w500,So-4,-1.0,MIS6_DO_17,962.0313283217544,0.2941765735895638
s035_w500,So-4,-1.0,MIS6_DO_18,999.1261904772692,0.2610019740601806
s035_w500,So-4,-1.0,MIS6_DO_19,1004.6019417486988,0.2885206476541398
s035_w500,So-4,-1.0,MIS6_DO_20,1102.2216687431126,0.3013045007529601
s035_w500,So-4,-1.0,MIS6_DO_21,1122.3222222232062,0.4286154400702247
s035_w500,So-4,-0.5,MIS6_DO_17,968.2990314779177,0.3413878118838128
s035_w500,So-4,-0.5,MIS6_DO_18,1005.1365853669588,0.2916902415458929
s035_w500,So-4,-0.5,MIS6_DO_19,1012.175742576554,0.3287540108168383
